"Relative Time (Process)","slope: 2 - _step","slope: 2 - _step__MIN","slope: 2 - _step__MAX","slope: 2 - test/returns_stat/mean","slope: 2 - test/returns_stat/mean__MIN","slope: 2 - test/returns_stat/mean__MAX","slope: 50 - _step","slope: 50 - _step__MIN","slope: 50 - _step__MAX","slope: 50 - test/returns_stat/mean","slope: 50 - test/returns_stat/mean__MIN","slope: 50 - test/returns_stat/mean__MAX","slope: 1 - _step","slope: 1 - _step__MIN","slope: 1 - _step__MAX","slope: 1 - test/returns_stat/mean","slope: 1 - test/returns_stat/mean__MIN","slope: 1 - test/returns_stat/mean__MAX","slope: 100 - _step","slope: 100 - _step__MIN","slope: 100 - _step__MAX","slope: 100 - test/returns_stat/mean","slope: 100 - test/returns_stat/mean__MIN","slope: 100 - test/returns_stat/mean__MAX","slope: 10 - _step","slope: 10 - _step__MIN","slope: 10 - _step__MAX","slope: 10 - test/returns_stat/mean","slope: 10 - test/returns_stat/mean__MIN","slope: 10 - test/returns_stat/mean__MAX"
"516.048454","124989","124989","124989","32.04875","32.04875","32.04875","","","","","","","","","","","","","","","","","","","","","","","",""
"516.952965","125046","125046","125046","36.178097","36.178097","36.178097","","","","","","","","","","","","","","","","","","","","","","","",""
"521.638225","124732","124732","124732","25.192139","25.192139","25.192139","","","","","","","","","","","","","","","","","","","","","","","",""
"521.660067","1695","1695","1695","43.09965","43.09965","43.09965","","","","","","","","","","","","","","","","","","","","","","","",""
"524.0975260734558","","","","","","","","","","","","","44","44","44","34.651519775390625","34.651519775390625","34.651519775390625","","","","","","","","","","","",""
"525.1543390750885","","","","","","","","","","","","","44","44","44","33.34279251098633","33.34279251098633","33.34279251098633","","","","","","","","","","","",""
"526.002258","125218","125218","125218","36.871002","36.871002","36.871002","","","","","","","","","","","","","","","","","","","","","","","",""
"527.495225","125507","125507","125507","38.385166","38.385166","38.385166","","","","","","","","","","","","","","","","","","","","","","","",""
"527.629164","125541","125541","125541","29.420761","29.420761","29.420761","","","","","","","","","","","","","","","","","","","","","","","",""
"528.0876891613007","44","44","44","33.07974624633789","33.07974624633789","33.07974624633789","","","","","","","","","","","","","","","","","","","","","","","",""
"528.6161072254181","33","33","33","22.852638244628906","22.852638244628906","22.852638244628906","","","","","","","","","","","","","","","","","","","","","","","",""
"529.107677936554","45","45","45","41.27996063232422","41.27996063232422","41.27996063232422","","","","","","","","","","","","","","","","","","","","","","","",""
"531.284481","1666","1666","1666","31.435085","31.435085","31.435085","","","","","","","","","","","","","","","","","","","","","","","",""
"535.84410405159","","","","","","","","","","","","","","","","","","","44","44","44","39.91341018676758","39.91341018676758","39.91341018676758","","","","","",""
"537.054191","125476","125476","125476","37.463264","37.463264","37.463264","","","","","","","","","","","","","","","","","","","","","","","",""
