Relative Time (Process),Schedule : adaptive - _step,Schedule : adaptive - _step__MIN,Schedule : adaptive - _step__MAX,Schedule : adaptive - test reward ,Schedule : adaptive - test reward __MIN,Schedule : adaptive - test reward __MAX,Schedule : fixed - _step,Schedule : fixed - _step__MIN,Schedule : fixed - _step__MAX,Schedule : fixed - test reward ,Schedule : fixed - test reward __MIN,Schedule : fixed - test reward __MAX,Schedule : interval - _step,Schedule : interval - _step__MIN,Schedule : interval - _step__MAX,Schedule : interval - test reward ,Schedule : interval - test reward __MIN,Schedule : interval - test reward __MAX,epoch
351.998998,84138.0,84138.0,84138.0,31.838211,31.838211,31.838211,1240.857142857143,1240.857142857143,1240.857142857143,36.256631428571424,36.256631428571424,36.256631428571424,84033.66666666667,84033.66666666667,84033.66666666667,29.702077333333335,29.702077333333335,29.702077333333335,14.391691394658752
356.310451,83791.0,83791.0,83791.0,30.33124,30.33124,30.33124,1282.142857142857,1282.142857142857,1282.142857142857,35.88668857142857,35.88668857142857,35.88668857142857,84116.33333333333,84116.33333333333,84116.33333333333,31.20125666666667,31.20125666666667,31.20125666666667,14.540059347181007
366.329084,86402.375,86402.375,86402.375,30.83089375,30.83089375,30.83089375,1323.4285714285713,1323.4285714285713,1323.4285714285713,35.51674571428571,35.51674571428571,35.51674571428571,84199.0,84199.0,84199.0,32.700436,32.700436,32.700436,14.688427299703262
371.596153,89013.75,89013.75,89013.75,31.3305475,31.3305475,31.3305475,1364.7142857142858,1364.7142857142858,1364.7142857142858,35.14680285714286,35.14680285714286,35.14680285714286,83536.0,83536.0,83536.0,34.389343,34.389343,34.389343,14.836795252225517
385.89079,91625.125,91625.125,91625.125,31.830201250000002,31.830201250000002,31.830201250000002,1406.0,1406.0,1406.0,34.77686,34.77686,34.77686,86491.14285714286,86491.14285714286,86491.14285714286,34.55941257142857,34.55941257142857,34.55941257142857,14.985163204747773
387.009605,94236.5,94236.5,94236.5,32.329855,32.329855,32.329855,1406.0,1406.0,1406.0,29.99272,29.99272,29.99272,89446.28571428571,89446.28571428571,89446.28571428571,34.729482142857144,34.729482142857144,34.729482142857144,15.133531157270028
387.418275,96847.875,96847.875,96847.875,32.82950875,32.82950875,32.82950875,1377.0,1377.0,1377.0,32.690487,32.690487,32.690487,92401.42857142858,92401.42857142858,92401.42857142858,34.899551714285714,34.899551714285714,34.899551714285714,15.281899109792283
391.074621,99459.25,99459.25,99459.25,33.3291625,33.3291625,33.3291625,1406.0,1406.0,1406.0,24.82205,24.82205,24.82205,95356.57142857143,95356.57142857143,95356.57142857143,35.069621285714284,35.069621285714284,35.069621285714284,15.430267062314538
395.95614,102070.625,102070.625,102070.625,33.82881625,33.82881625,33.82881625,1406.0,1406.0,1406.0,37.0129,37.0129,37.0129,98311.71428571429,98311.71428571429,98311.71428571429,35.239690857142854,35.239690857142854,35.239690857142854,15.578635014836793
411.066954,104682.0,104682.0,104682.0,34.32847,34.32847,34.32847,1406.0,1406.0,1406.0,36.36519714285714,36.36519714285714,36.36519714285714,101266.85714285714,101266.85714285714,101266.85714285714,35.40976042857143,35.40976042857143,35.40976042857143,15.727002967359049
